day,time,C01,C02,C06,C07_minus_C14,C11,C12,C13,C14,C15,C16,temperature,humidity,pressure
8,201811081800,high,high,high,high,high,normal,high,high,high,high,61.97693711166154,8.692786506845318,29.85120079042921
8,201811081800,high,high,high,high,high,normal,high,high,high,high,62.02457151477495,8.72795605098304,29.84831927412957
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.072322724751004,8.763581139936353,29.845343423980104
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.120044965151024,8.79959642199404,29.8422734097237
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.16759329732793,8.835937447089266,29.839109315746732
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.21482470908407,8.872541209662945,29.83585111555952
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.2615991216177,8.909346642858017,29.832498648193575
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.307780302257164,8.946295058251629,29.82905159681248
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.353236673582565,8.983330527004554,29.825509469763624
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.39784201266665,9.020400199968575,29.821871584228678
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.44147603720095,9.057454565881523,29.818137052561816
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.484024878082636,9.094447648223523,29.8143047713416
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.52538144057782,9.131337142590654,29.810373413105445
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.56544565839314,9.168084497546227,29.806341420684852
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.604124646809495,9.204654942786371,29.802207004018676
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.641332762501776,9.241017469150126,29.797968139288052
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.67699157873089,9.27714476547872,29.793622570191346
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.71102978531036,9.313013117614389,29.789167811162162
